# kind: REGRESSION
# XEMA harness self-consistency regression fixture.
# Generated by xema_harness_260902-01.py on EURUSD_H1 (HTF M15 supplied) at repo HEAD
# b0244b7956fe4c2851e71cb956462bd7f3591409, neutral default config.
# PURPOSE: guard against HARNESS DRIFT across future edits (re-run --verify after any
#          change; REGRESSION-FAIL means the reconstruction moved).
# THIS DOES NOT certify harness-vs-EA fidelity. Replace/supplement with a real
# kind: EA_LOG fixture (MT5 tester collect/log mode) to reach a true conformance PASS.
entry_time,direction,sl,exit_time,exit_reason
2026.01.12 11:00,BUY,1.16478,2026.01.13 17:00,SL
2026.02.06 19:00,BUY,1.17804,2026.02.11 23:00,REVCROSS
2026.02.23 02:00,BUY,1.17502,2026.03.02 08:00,SL
2026.03.11 15:00,SELL,1.16505,2026.03.19 19:00,REVCROSS
2026.03.31 20:00,BUY,1.14521,2026.04.02 13:00,REVCROSS
2026.04.30 19:00,BUY,1.16767,2026.05.05 07:00,SL
2026.05.08 06:00,SELL,1.17397,2026.05.08 09:00,SL
2026.05.28 20:00,BUY,1.15983,2026.06.03 15:00,SL
