<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	184.144	184.144	183.958	183.973	6	0	300
2025.12.29	00:05:00	184.017	184.160	184.017	184.135	207	0	383
2025.12.29	00:10:00	184.137	184.192	184.107	184.170	318	0	367
2025.12.29	00:15:00	184.170	184.343	184.170	184.323	50	0	80
2025.12.29	00:20:00	184.367	184.392	184.312	184.316	95	0	80
2025.12.29	00:25:00	184.313	184.387	184.312	184.363	62	0	80
2025.12.29	00:30:00	184.363	184.364	184.274	184.294	300	0	80
2025.12.29	00:35:00	184.293	184.298	184.248	184.254	221	0	80
2025.12.29	00:40:00	184.254	184.282	184.231	184.260	439	0	80
2025.12.29	00:45:00	184.267	184.300	184.249	184.273	297	0	80
2025.12.29	00:50:00	184.277	184.324	184.271	184.286	406	0	80
2025.12.29	00:55:00	184.286	184.308	184.227	184.242	181	0	80
2025.12.29	01:00:00	184.242	184.384	184.242	184.337	244	0	22
2025.12.29	01:05:00	184.337	184.358	184.280	184.326	228	0	22
2025.12.29	01:10:00	184.317	184.317	184.284	184.286	162	0	22
2025.12.29	01:15:00	184.286	184.305	184.252	184.277	262	0	22
2025.12.29	01:20:00	184.278	184.292	184.239	184.243	261	0	22
2025.12.29	01:25:00	184.238	184.262	184.230	184.251	332	0	22
2025.12.29	01:30:00	184.252	184.317	184.225	184.306	405	0	22
2025.12.29	01:35:00	184.307	184.338	184.287	184.330	255	0	22
2025.12.29	01:40:00	184.330	184.350	184.286	184.296	296	0	22
2025.12.29	01:45:00	184.289	184.307	184.239	184.269	298	0	22
2025.12.29	01:50:00	184.255	184.306	184.220	184.256	226	0	22
2025.12.29	01:55:00	184.257	184.299	184.225	184.257	250	0	22
2025.12.29	02:00:00	184.256	184.259	183.963	183.967	689	0	22
2025.12.29	02:05:00	183.981	183.997	183.809	183.849	722	0	22
2025.12.29	02:10:00	183.841	183.904	183.792	183.867	556	0	22
2025.12.29	02:15:00	183.874	183.950	183.847	183.928	541	0	22
2025.12.29	02:20:00	183.909	184.009	183.908	183.984	506	0	22
2025.12.29	02:25:00	183.983	183.983	183.901	183.964	501	0	22
2025.12.29	02:30:00	183.955	184.015	183.890	183.965	576	0	22
2025.12.29	02:35:00	183.972	184.043	183.943	184.009	630	0	22
2025.12.29	02:40:00	184.007	184.024	183.967	183.980	588	0	22
2025.12.29	02:45:00	183.976	184.080	183.960	184.077	601	0	22
2025.12.29	02:50:00	184.078	184.181	184.038	184.140	746	0	22
2025.12.29	02:55:00	184.152	184.185	184.094	184.136	649	0	22
2025.12.29	03:00:00	184.137	184.236	184.125	184.226	677	0	22
2025.12.29	03:05:00	184.228	184.235	184.130	184.141	609	0	22
2025.12.29	03:10:00	184.149	184.183	184.113	184.136	585	0	22
